record_id,operation,data_store,is_first_query,exec_time,num_records
1662384093616,query_type_3__8x,rds,FALSE,1006,
1662384095277,query_type_3__8x,rds,FALSE,995,
1662384096475,query_type_3__8x,rds,FALSE,1161,
1662384097953,query_type_3__8x,ts,TRUE,1584,
1662384099732,query_type_3__8x,ts,FALSE,819,
1662384100759,query_type_3__8x,ts,FALSE,773,
1662384101759,query_type_3__8x,ts,FALSE,752,
1662384102737,query_type_3__8x,ts,FALSE,829,
1662384103758,query_type_3__8x,ts,FALSE,773,
1662384104798,query_type_3__8x,ts,FALSE,773,
1662384105792,query_type_3__8x,ts,FALSE,809,
1662384106797,query_type_3__8x,ts,FALSE,773,
1662384107812,query_type_3__8x,ts,FALSE,799,
1662226722453,query_type_2__5x,cloudwatch_logs,TRUE,3465,
1662226726174,query_type_2__5x,cloudwatch_logs,FALSE,2217,
1662226728632,query_type_2__5x,cloudwatch_logs,FALSE,3278,
1662226732109,query_type_2__5x,cloudwatch_logs,FALSE,3196,
1662226735532,query_type_2__5x,cloudwatch_logs,FALSE,3196,
1662226739009,query_type_2__5x,cloudwatch_logs,FALSE,3208,
1662226742457,query_type_2__5x,cloudwatch_logs,FALSE,3190,
1662226745873,query_type_2__5x,cloudwatch_logs,FALSE,3185,
1662226749296,query_type_2__5x,cloudwatch_logs,FALSE,2292,
1662226751773,query_type_2__5x,cloudwatch_logs,FALSE,3202,
1662226755227,query_type_2__5x,elasticsearch,TRUE,1459,
1662226756952,query_type_2__5x,elasticsearch,FALSE,399,
1662226757591,query_type_2__5x,elasticsearch,FALSE,408,
1662226758229,query_type_2__5x,elasticsearch,FALSE,389,
1662226758907,query_type_2__5x,elasticsearch,FALSE,418,
1662226759552,query_type_2__5x,elasticsearch,FALSE,401,
1662226760216,query_type_2__5x,elasticsearch,FALSE,411,
1662226760872,query_type_2__5x,elasticsearch,FALSE,369,
1662226761510,query_type_2__5x,elasticsearch,FALSE,437,
1662226762189,query_type_2__5x,elasticsearch,FALSE,380,
1662226762910,query_type_2__5x,ts,TRUE,2602,
1662226765809,query_type_2__5x,ts,FALSE,2000,
1662226768497,query_type_2__5x,ts,FALSE,2019,
1662226770772,query_type_2__5x,ts,FALSE,1998,
1662226772990,query_type_2__5x,ts,FALSE,1913,
1662226775153,query_type_2__5x,ts,FALSE,1840,
1662226777251,query_type_2__5x,ts,FALSE,1865,
1662226779352,query_type_2__5x,ts,FALSE,1860,
1662226781488,query_type_2__5x,ts,FALSE,1939,
1662226783667,query_type_2__5x,ts,FALSE,1839,
1662233108979,query_type_2__5x,rds,TRUE,5086,
1662233114237,query_type_2__5x,rds,FALSE,4819,
1662233119297,query_type_2__5x,rds,FALSE,4955,
1662233124468,query_type_2__5x,rds,FALSE,4810,
1662233129535,query_type_2__5x,rds,FALSE,4843,
1662233134595,query_type_2__5x,rds,FALSE,5010,
1662233139837,query_type_2__5x,rds,FALSE,4743,
1662233144820,query_type_2__5x,rds,FALSE,4970,
1662233149976,query_type_2__5x,rds,FALSE,4848,
1662233155056,query_type_2__5x,rds,FALSE,4832,
1662365043159,query_type_2__6x,cloudwatch_logs,TRUE,3433,
1662365046818,query_type_2__6x,cloudwatch_logs,FALSE,3216,
1662365050258,query_type_2__6x,cloudwatch_logs,FALSE,3177,
1662365053661,query_type_2__6x,cloudwatch_logs,FALSE,2208,
1662365056118,query_type_2__6x,cloudwatch_logs,FALSE,3250,
1662365059544,query_type_2__6x,cloudwatch_logs,FALSE,3185,
1662365062964,query_type_2__6x,cloudwatch_logs,FALSE,3241,
